,"Códigos
da 
CNAE
2.0","Divisões, grupos
e
classes de atividades
","
Receita
bruta 
total 1 000 R$
",,"Receita
líquida 1 000 R$",,"
Valor das incorporações, obras
e/ou serviços da
construção 1 000 R$ 
",,"Consumo
intermediário 1 000 R$",,"Valor bruto
da
produção 1 000 R$",,"Valor
adicionado
(1) 1 000 R$",
6,,Total das empresas,363909809,A,337604435,A,357722401,A,170386182,A,340487552,A,170101368,A
7,,Empresas de 1 a 4 pessoas ocupadas,18268258,B,16733695,B,18244374,B,6321602,B,16999424,B,10677821,A
8,41,Construção de edifícios,10491095,B,9565579,B,10880633,B,4283324,C,9972279,B,5688955,B
9,42,Obras de infraestrutura,1908759,B,1733059,B,1617597,B,551977,C,1608464,B,1056486,B
10,43,Serviços especializados para construção,5868404,B,5435057,B,5746144,B,1486301,B,5418681,B,3932380,B
11,,Empresas de 5 a 29 pessoas ocupadas,47806807,B,44063661,B,47011148,B,17827063,B,44401839,B,26574776,B
12,41,Construção de edifícios,25009787,B,23465169,B,24676047,B,10764287,C,23435186,B,12670899,B
13,41.1,Incorporação e empreendimentos imobiliários,2258387,C,2136622,C,2231298,C,693418,C,2111604,C,1418186,C
14,41.2,Construção de edifícios,22751400,C,21328547,C,22444749,C,10070869,C,21323582,B,11252713,B
15,42,Obras de infraestrutura,5459957,B,4820699,B,5559556,B,1890149,B,5106948,B,3216799,B
16,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1920298,B,1790158,B,1849857,B,735439,B,1799900,B,1064461,B
17,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",1225098,C,1124342,C,1167246,C,387955,C,1108672,C,720717,C
18,42.9,Construção de outras obras de infraestrutura,2314561,C,1906199,C,2542453,C,766755,C,2198376,B,1431621,B
19,43,Serviços especializados para construção,17337063,B,15777793,B,16775545,B,5172627,B,15859705,B,10687078,B
20,43.1,Demolição e preparação do terreno,2375120,B,2141351,B,2209609,B,755137,B,2135618,B,1380481,B
21,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",5499050,B,4932394,B,5105874,B,1476074,C,4690598,B,3214524,B
22,43.3,Obras de acabamento,3387853,B,3091472,B,3245282,B,1055306,B,3107670,B,2052364,B
23,43.9,Outros serviços especializados para construções,6075040,B,5612576,B,6214780,B,1886110,C,5925819,B,4039709,B
24,,Empresas com 30 ou mais pessoas ocupadas,297834744,A,276807079,A,292466879,A,146237517,A,279086289,A,132848771,A
25,41,Construção de edifícios,117724439,A,109904427,A,117682583,A,60303046,A,110165605,A,49862559,A
26,41.1,Incorporação e empreendimentos imobiliários,6522971,A,5829860,A,6603775,A,3340818,A,5725402,A,2384584,A
27,41.10,Incorporação e empreendimentos imobiliários,6522971,A,5829860,A,6603775,A,3340818,A,5725402,A,2384584,A
28,41.2,Construção de edifícios,111201468,A,104074567,A,111078808,A,56962228,A,104440203,A,47477975,A
29,41.20,Construção de edifícios,111201468,A,104074567,A,111078808,A,56962228,A,104440203,A,47477975,A
30,42,Obras de infraestrutura,138190638,A,128548310,A,133787135,A,68555213,A,129948793,A,61393583,A
31,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",59280773,A,55202644,A,57633552,A,31498734,A,55647171,A,24148439,A
32,42.11,Construção de rodovias e ferrovias,45898034,A,42966697,A,44633848,A,25324459,A,43486786,A,18162328,A
33,42.12,Construção de obras de arte especiais,8583623,A,7785348,A,8581212,A,4090901,A,7861395,A,3770494,A
34,42.13,"Obras de urbanização - ruas, praças e calçadas",4799116,A,4450599,A,4418492,A,2083374,A,4298990,A,2215617,A
