,"Grandes Regiões 
e
 Unidades da Federação 
da sede da empresa","Número 
de
empresas         ativas","Pessoal
ocupado
em
31.12",Custos e despesas Total 1 000 R$,Custos e despesas Gastos de pessoal Total 1 000 R$,"Custos e despesas Gastos de pessoal Salários,
retiradas e
outras
remune-
rações 1 000 R$","Custos e despesas Custos das obras e/ou
serviços da construção Total 1 000 R$","Custos e despesas Custos das obras e/ou
serviços da construção Consumo de
materiais de
construção 1 000 R$","Custos e despesas Custos de incorporação
de imóveis Total 1 000 R$","Custos e despesas Custos de incorporação
de imóveis Materiais de construção 1 000 R$","Custos e despesas Outros
custos e
despesas 1 000 R$"
5,Total das empresas,,,,,,,,,,
6,                    Brasil ,104338,2814268,278313263,90477657,60317120,118057195,69452677,6029030,2981328,63749381
7,             Norte,3516,113007,7948152,2533597,1756719,3823214,2749610,105755,45602,1485586
8,             Nordeste,13992,545394,37111212,12859387,8525738,16154212,10529476,679113,417211,7418501
9,             Sudeste,51213,1551982,180018070,59195897,39174690,72362116,39462325,3948899,1944387,44511158
10,             Sul,27437,391423,34116502,10322867,7022470,16402982,10450278,630806,348337,6759847
11,             Centro-Oeste,8180,212462,19119327,5565909,3837503,9314671,6260989,664458,225791,3574289
12,Empresas de 1 a 4 pessoas ocupadas,,,,,,,,,,
13,                    Brasil,48399,140403,7349326,2229173,1758835,3048061,2073710,528441,285856,1543651
14,             Norte,1333,6324,333058,95430,74727,170233,114876,3606,2730,63789
15,             Nordeste,5883,23023,1186452,355053,276198,627403,484820,21954,6973,182043
16,             Sudeste,23712,65727,2993290,1000853,799657,980677,577047,205940,170642,805821
17,             Sul,13914,34592,2084886,586081,455598,993641,726884,158856,79974,346308
18,             Centro-Oeste,3557,10736,751640,191757,152654,276107,170083,138086,25536,145690
19,Empresas com 5 ou mais pessoas ocupadas,,,,,,,,,,
20,                    Brasil,55939,2673865,270963937,88248483,58558285,115009135,67378966,5500589,2695472,62205730
21,            Norte,2184,106683,7615094,2438167,1681992,3652982,2634733,102149,42872,1421797
22,Rondônia,332,9963,702737,233006,160748,349345,204779,17255,939,103131
23,Acre,147,7031,534743,139666,99041,284670,211199,8642,7418,101765
24,Amazonas,505,24382,2244414,682549,457823,1107482,809263,31886,30849,422497
25,Roraima,71,3283,179204,61270,45619,91566,69789,30,30,26339
26,Pará,776,49299,3166482,1088003,747047,1423533,1063559,39024,2101,615922
27,Amapá,110,4262,173571,70148,55615,79866,42792,1817,1461,21740
28,Tocantins,241,8462,613942,163525,116098,316519,233353,3495,75,130403
29,             Nordeste,8108,522371,35924760,12504334,8249541,15526809,10044656,657159,410238,7236458
30,Maranhão,546,46588,2202700,697443,498829,1060200,742869,22892,22383,422164
31,Piauí,372,28775,1329187,489781,334933,654110,443815,21198,17748,164098
32,Ceará,1252,87289,5999335,2067636,1352101,2443975,1363598,136423,69107,1351302
33,Rio Grande do Norte,812,37180,2394731,738989,499756,1077738,707664,54328,34059,523676
34,Paraíba,945,36673,1807688,660329,454776,836366,669955,1973,1937,309020
35,Pernambuco,1399,88167,5967294,2145750,1448155,2670377,1746507,24714,14139,1126453
36,Alagoas,402,26528,1724300,500287,336171,916481,642241,29777,23931,277754
37,Sergipe,308,24359,2330217,747741,499621,1102722,552073,5786,2434,473968
38,Bahia,2073,146812,12169308,4456379,2825198,4764839,3175935,360066,224502,2588024
39,           Sudeste,27500,1486255,177024780,58195044,38375033,71381440,38885277,3742958,1773745,43705337
40,Minas Gerais,6944,359675,37292808,12436583,8402844,15370159,7861505,221760,75499,9264306
41,Espírito Santo,1445,50132,3604024,1136119,767992,1687936,1125263,71714,58815,708255
42,Rio de Janeiro,4035,307913,37313713,12534206,8243321,14818023,7755751,638489,47027,9322995
43,São Paulo,15076,768535,98814234,32088137,20960876,39505322,22142758,2810994,1592403,24409780
44,           Sul,13523,356832,32031616,9736786,6566872,15409340,9723394,471950,268362,6413539
45,Paraná,4629,138729,13114018,4211734,2758061,6296800,3830480,150461,65952,2455023
46,Santa Catarina,3888,92502,8497788,2251679,1605734,4312557,2922949,140317,92551,1793235
47,Rio Grande do Sul,5007,125601,10419809,3273373,2203076,4799983,2969965,181173,109859,2165281
48,           Centro-Oeste,4623,201725,18367688,5374152,3684848,9038564,6090906,526373,200255,3428599
49,Mato Grosso do Sul,661,25264,1899221,577550,395434,947853,626813,15910,7958,357909
50,Mato Grosso,948,33088,2392725,803468,586327,1209023,826177,19823,15333,360412
51,Goiás,1773,82604,6563719,2168719,1482701,2846862,1967479,349424,106657,1198713
52,Distrito Federal,1241,60769,7512023,1824415,1220387,4034827,2670437,141216,70307,1511565
