,"Códigos 
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Número
de
empresas       ativas","Pessoal ocupado Em
31.12","Pessoal ocupado Número
médio
no ano","   Pessoal ocupado Assalariado Ligado à
construção","   Pessoal ocupado Assalariado Não ligado à
construção","Pessoal ocupado Não assalariado Proprietários
e sócios  (1)"
4,,                      Total das empresas,104338,2814268,2867196,2429761,254280,130226
5,,Empresas de 1 a 4 pessoas ocupadas,48399,140403,138914,78787,6851,54765
6,41,Construção de edifícios,16983,55021,55226,34679,1923,18418
7,42,Obras de infraestrutura,3862,12718,13437,7905,762,4051
8,43,Serviços especializados para construção,27554,72664,70251,36202,4165,32296
9,,Empresas de 5 a 29 pessoas ocupadas,41267,491985,486449,407084,32148,52754
10,41,Construção de edifícios,18448,229602,232010,188880,16370,24352
11,41.1,    Incorporação e empreendimentos imobiliários,681,9475,7904,7091,1023,1361
12,41.2,    Construção de edifícios,17767,220127,224106,181788,15348,22991
13,42,Obras de infraestrutura,3857,45002,45210,37431,2615,4956
14,42.1,"     Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1392,16532,16356,13723,1004,1805
15,42.2,"    Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",677,9844,9558,8304,626,914
16,42.9,     Construção de outras obras de infraestrutura,1788,18625,19296,15404,985,2237
17,43,Serviços especializados para construção,18963,217381,209229,180773,13162,23446
18,43.1,      Demolição e preparação do terreno,2312,24765,23484,20331,1571,2863
19,43.2,"         Instalações elétricas, hidráulicas e outras instalações em construções",6026,71527,70410,58160,5830,7538
20,43.3,      Obras de acabamento,5361,54260,50084,45799,2029,6432
21,43.9,      Outros serviços especializados para construções,5263,66828,65251,56484,3732,6612
22,,Empresas com 30 ou mais pessoas ocupadas ,14671,2181880,2241832,1943891,215282,22707
23,41,Construção de edifícios,7321,879414,877902,794985,73867,10562
24,41.1,    Incorporação e empreendimentos imobiliários,246,26265,27543,21686,4335,245
25,41.10,        Incorporação e empreendimentos imobiliários,246,26265,27543,21686,4335,245
26,41.2,    Construção de edifícios,7075,853149,850359,773299,69532,10317
27,41.20,        Construção de edifícios,7075,853149,850359,773299,69532,10317
28,42,Obras de infraestrutura,2748,885730,883460,772993,107572,5165
29,42.1,"     Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1075,291979,301463,252871,37179,1929
30,42.11,        Construção de rodovias e ferrovias,687,185614,189598,165292,19065,1257
31,42.12,        Construção de obras de arte especiais,81,50641,54239,41403,9085,153
32,42.13,"        Obras de urbanização - ruas, praças e calçadas",307,55723,57626,46176,9029,519
33,42.2,"     Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",774,269047,264235,247833,19780,1435
34,42.21,         Obras para geração e distribuição de energia elétrica e para telecomunicações,498,210262,207793,195950,13387,925
35,42.22,"          Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",241,44838,43328,41494,2909,434
36,42.23,"         Construção de redes de transportes por dutos, exceto para água e esgoto",35,13948,13114,10388,3484,75
37,42.9,     Construção de outras obras de infraestrutura,899,324704,317762,272289,50613,1802
38,42.91,"        Obras portuárias, marítimas e fluviais",32,67870,66970,55090,12731,49
39,42.92,          Montagem de instalações industriais e de estruturas metálicas,266,136326,131353,109242,26618,466
40,42.99,         Obras de engenharia civil não especificadas anteriormente,601,120507,119438,107957,11263,1287
41,43,Serviços especializados para construção,4603,416737,480471,375913,33843,6981
42,43.1,      Demolição e preparação do terreno,627,63172,135635,55220,6872,1081
43,43.11,         Demolição e preparação de canteiros de obras,71,6714,6284,5747,844,123
44,43.12,         Perfurações e sondagens,71,7997,8075,6927,946,124
45,43.13,         Obras de terraplenagem,456,45133,117947,39958,4382,793
46,43.2,"        Instalações elétricas, hidráulicas e outras instalações em construções",1304,136819,130827,122146,12554,2119
47,43.21,         Instalações elétricas,695,74959,71196,68250,5581,1128
48,43.22,"          Instalações hidráulicas, de sistemas de ventilação e refrigeração",429,40802,38930,35260,4868,673
49,43.29,         Obras de instalações em construções não especificadas anteriormente,179,21058,20701,18636,2104,318
50,43.3,      Obras de acabamento,1013,69573,67971,64244,3927,1401
51,43.30,         Obras de acabamento,1013,69573,67971,64244,3927,1401
52,43.9,      Outros serviços especializados para construção,1659,147173,146039,134303,10490,2380
53,43.91,         Obras de fundações,279,33663,34260,30793,2411,460
54,43.99,         Serviços especializados para construção não especi- ficados anteriormente,1380,113510,111779,103510,8080,1920
