,"Códigos
da 
CNAE
2.0","Divisões, grupos
 e
classes de atividades","Número
de
empresas ativas","Pessoal
ocupado
em 31.12","Salários, retiradas
e outras
remunerações 1 000 R$","Valor das incorporações, obras e/ou serviços
da construção 1 000 R$"
2,,                      Total das empresas,104338,2814268,60317120,336591352
3,,Empresas de 1 a 4 pessoas ocupadas,48399,140403,1758835,11796992
4,41,Construção de edifícios,16983,55021,641158,5794917
5,42,Obras de infraestrutura,3862,12718,189958,1147865
6,43,Serviços especializados para construção,27554,72664,927718,4854210
7,,Empresas de 5 a 29 pessoas ocupadas,41267,491985,7387677,43102616
8,41,Construção de edifícios,18448,229602,3464518,24732198
9,41.1,    Incorporação e empreendimentos imobiliários,681,9475,144105,2179472
10,41.2,    Construção de edifícios,17767,220127,3320413,22552726
11,42,Obras de infraestrutura,3857,45002,655424,3947138
12,42.1,"       Construção de rodovias, ferrovias, obras urbanas  e obras de arte especiais",1392,16532,218555,1683248
13,42.2,"      Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",677,9844,159540,753561
14,42.9,     Construção de outras obras de infraestrutura,1788,18625,277329,1510329
15,43,Serviços especializados para construção,18963,217381,3267735,14423280
16,43.1,      Demolição e preparação do terreno,2312,24765,382404,2441973
17,43.2,"           Instalações elétricas, hidráulicas e outras instalações  em construções",6026,71527,1235913,4868497
18,43.3,      Obras de acabamento,5361,54260,688838,2353085
19,43.9,      Outros serviços especializados para construções,5263,66828,960580,4759725
20,,Empresas com 30 ou mais pessoas ocupadas ,14671,2181880,51170608,281691744
21,41,Construção de edifícios,7321,879414,16655299,112779622
22,41.1,    Incorporação e empreendimentos imobiliários,246,26265,756077,6574764
23,41.10,        Incorporação e empreendimentos imobiliários,246,26265,756077,6574764
24,41.2,    Construção de edifícios,7075,853149,15899223,106204858
25,41.20,        Construção de edifícios,7075,853149,15899223,106204858
26,42,Obras de infraestrutura,2748,885730,26592905,131705548
27,42.1,"     Construção de rodovias, ferrovias, obras urbanas  e obras de arte especiais",1075,291979,8378583,52269690
28,42.11,        Construção de rodovias e ferrovias,687,185614,5323495,36391440
29,42.12,        Construção de obras de arte especiais,81,50641,1643147,8139463
30,42.13,"        Obras de urbanização - ruas, praças e calçadas",307,55723,1411941,7738788
31,42.2,"        Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",774,269047,7474078,30333067
32,42.21,        Obras para geração e distribuição de energia elétrica e para telecomunicações,498,210262,5944311,22319797
33,42.22,"        Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",241,44838,904582,5478278
34,42.23,"        Construção de redes de transportes por dutos, exceto para água e esgoto",35,13948,625185,2534992
35,42.9,     Construção de outras obras de infraestrutura,899,324704,10740244,49102790
36,42.91,"        Obras portuárias, marítimas e fluviais",32,67870,2644339,9858290
37,42.92,        Montagem de instalações industriais e de estruturas metálicas,266,136326,4453186,20681822
38,42.99,        Obras de engenharia civil não especificadas anteriormente,601,120507,3642719,18562677
39,43,Serviços especializados para construção,4603,416737,7922404,37206574
40,43.1,      Demolição e preparação do terreno,627,63172,1476925,9002437
41,43.11,         Demolição e preparação de canteiros de obras,71,6714,161046,819900
42,43.12,         Perfurações e sondagens,71,7997,201308,1028258
43,43.13,         Obras de terraplenagem,456,45133,1060083,6890824
44,43.19,         Serviços de preparação do terreno não especificados anteriormente,29,3329,54488,263455
45,43.2,"      Instalações elétricas, hidráulicas e outras instalações em construções",1304,136819,2684820,11117134
46,43.21,         Instalações elétricas,695,74959,1417601,5585881
47,43.22,"         Instalações hidráulicas, de sistemas de ventilação e refrigeração",429,40802,816432,3482059
48,43.29,         Obras de instalações em construções não especificadas anteriormente,179,21058,450788,2049194
49,43.3,      Obras de acabamento,1013,69573,1006031,3879725
50,43.30,         Obras de acabamento,1013,69573,1006031,3879725
51,43.9,      Outros serviços especializados para construção,1659,147173,2754628,13207278
52,43.91,         Obras de fundações,279,33663,675102,3341775
53,43.99,         Serviços especializados para construção não especificados anteriormente,1380,113510,2079526,9865503
