,"Códigos
da 
CNAE
2.0","Divisões, grupos
e
classes de atividades
","Custos e despesas Custos das obras e/ou
serviços da construção Total 1 000 R$",,"Custos e despesas Custos das obras e/ou
serviços da construção Consumo de materiais de construção 1 000 R$",,"Custos e despesas Custos de incorporações de imóveis
construídos por terceiros Total 1 000 R$",,"Custos e despesas Custos de incorporações de imóveis
construídos por terceiros Materiais de construção 1 000 R$",,"Custos e despesas Outros
custos e
despesas 1 000 R$",
5,,Total das empresas,113565940,A,67120239,A,7638073,B,2253484,B,78311100,A
6,,Empresas de 1 a 4 pessoas ocupadas,4820435,B,3183258,B,1403018,C,226887,C,2814941,C
7,41,Construção de edifícios,3022682,C,2056409,C,1382903,C,214750,C,1353251,B
8,42,Obras de infraestrutura,362630,E,197653,C,4592,E,2199,E,287331,E
9,43,Serviços especializados para construção,1435123,C,929196,B,15523,D,9938,D,1174359,C
10,,Empresas de 5 a 29 pessoas ocupadas,15474581,B,11256985,B,2111019,C,452222,C,8569862,B
11,41,Construção de edifícios,10024597,B,7608447,B,2082972,C,444297,C,5273326,C
12,41.1,Incorporação e empreendimentos imobiliários,4654,E,1535,B,1918813,D,351937,D,1408020,E
13,41.2,Construção de edifícios,10019943,B,7606912,B,164159,D,92360,D,3865306,C
14,42,Obras de infraestrutura,1704341,B,1200883,B,691,A,201,B,889946,B
15,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",809432,C,541595,C,124,B,58,B,397664,C
16,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",394280,B,293228,C,167,A,127,A,243738,C
17,42.9,Construção de outras obras de infraestrutura,500629,C,366060,C,400,B,16,E,248544,C
18,43,Serviços especializados para construção,3745643,B,2447655,B,27356,E,7724,D,2406590,B
19,43.1,Demolição e preparação do terreno,850929,B,251864,C,20119,E,919,D,540487,B
20,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",886749,B,685143,B,1809,E,1631,E,861896,B
21,43.3,Obras de acabamento,540820,C,377741,C,575,E,552,E,448171,D
22,43.9,Outros serviços especializados para construções,1467145,B,1132907,C,4853,E,4622,E,556036,B
23,,Empresas com 30 ou mais pessoas ocupadas,93270924,A,52679996,A,4124036,A,1574375,A,66926297,A
24,41,Construção de edifícios,42710247,A,26325874,A,4070430,A,1540158,A,22544346,A
25,41.1,Incorporação e empreendimentos imobiliários,9592,B,3333,B,3595896,A,1280687,A,1629685,A
26,41.10,Incorporação e empreendimentos imobiliários,9592,B,3333,B,3595896,A,1280687,A,1629685,A
27,41.2,Construção de edifícios,42700655,A,26322541,A,474534,A,259471,A,20914661,A
28,41.20,Construção de edifícios,42700655,A,26322541,A,474534,A,259471,A,20914661,A
29,42,Obras de infraestrutura,39690214,A,20281507,A,30503,B,16080,A,36184689,A
30,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",20234638,A,10246772,A,15626,B,8140,B,15879317,A
31,42.11,Construção de rodovias e ferrovias,14493422,A,7403676,A,6187,C,2482,B,11400394,A
32,42.12,Construção de obras de arte especiais,3816236,A,1813968,A,3725,A,1352,Z,3391800,A
33,42.13,"Obras de urbanização - ruas, praças e calçadas",1924980,A,1029128,A,5714,B,4306,B,1087123,A
34,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",11504404,A,6297745,A,10369,A,6002,A,14324208,A
35,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,8317133,A,4539215,A,2312,A,2177,A,12250573,A
36,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",2334945,A,1417393,A,8057,B,3825,A,1637149,A
37,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",852326,A,341137,A,-,Z,-,Z,436486,A
38,42.9,Construção de outras obras de infraestrutura,7951172,A,3736990,A,4508,B,1938,C,5981164,A
39,42.91,"Obras portuárias, marítimas e fluviais",863721,A,238559,A,-,Z,-,Z,1130010,A
40,42.92,Montagem de instalações industriais e de estruturas metálicas,3511645,A,1352951,A,1707,A,81,B,2677210,A
41,42.99,Obras de engenharia civil não especificadas anteriormente,3575806,A,2145480,A,2801,C,1857,C,2173944,A
42,43,Serviços especializados para construção,10870463,A,6072615,A,23103,B,18137,B,8197262,A
43,43.1,Demolição e preparação do terreno,2674839,A,1243329,A,609,C,485,D,2003760,A
44,43.11,Demolição e preparação de canteiros de obras,218305,C,35400,B,4,D,1,D,238274,B
