,"Códigos
da 
CNAE
2.0","Divisões, grupos
e
classes de atividades
","
Receita
bruta 
total 1 000 R$
",,"Receita
líquida 1 000 R$",,"
Valor das incorporações, obras
e/ou serviços da
construção 1 000 R$
",,"Consumo
intermediário 1 000 R$",,"Valor bruto
da
produção 1 000 R$",,"Valor
adicionado
(1) 1 000 R$",
6,,Total das empresas,352677843,A,323971241,A,354358800,A,158817948,A,331430244,A,172612299,A
7,,Empresas de 1 a 4 pessoas ocupadas,23318699,B,21689955,B,22634860,B,7658324,B,21321509,B,13663186,B
8,41,Construção de edifícios,13154333,B,12207638,B,13272448,B,4939492,B,12264792,B,7325300,B
9,42,Obras de infraestrutura,1779480,D,1656037,D,1724482,D,518407,E,1557382,C,1038976,B
10,43,Serviços especializados para construção,8384886,B,7826280,B,7637930,B,2200425,C,7499335,B,5298910,B
11,,Empresas de 5 a 29 pessoas ocupadas,59760850,A,54970353,A,60637720,A,21560215,B,57019299,A,35459084,A
12,41,Construção de edifícios,34378917,B,31846201,B,36048990,B,13940948,B,33699029,B,19758081,B
13,41.1,Incorporação e empreendimentos imobiliários,5100329,D,4501264,D,4830865,D,1813227,C,4066706,C,2253479,D
14,41.2,Construção de edifícios,29278588,B,27344937,B,31218125,B,12127721,B,29632323,B,17504602,B
15,42,Obras de infraestrutura,6263128,B,5797264,B,6014404,B,2193402,B,5858806,B,3665403,B
16,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",2595898,C,2434655,C,2452127,B,1009683,C,2481563,C,1471879,B
17,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",1712022,B,1551123,B,1600490,B,551186,B,1490175,B,938989,B
18,42.9,Construção de outras obras de infraestrutura,1955208,B,1811486,B,1961787,B,632533,C,1887068,B,1254535,B
19,43,Serviços especializados para construção,19118805,B,17326888,B,18574326,B,5425865,B,17461464,A,12035600,B
20,43.1,Demolição e preparação do terreno,3054911,B,2804971,B,2968660,B,1133098,B,2885318,B,1752221,B
21,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",5982291,B,5353054,B,5823529,B,1562059,B,5442736,B,3880678,B
22,43.3,Obras de acabamento,4085290,C,3708054,C,4078532,C,881831,C,3722169,C,2840337,C
23,43.9,Outros serviços especializados para construções,5996313,B,5460809,B,5703605,B,1848877,B,5411241,B,3562364,B
24,,Empresas com 30 ou mais pessoas ocupadas,269598294,A,247310933,A,271086220,A,129599409,A,253089436,A,123490029,A
25,41,Construção de edifícios,113295044,A,104145978,A,116385100,A,56755853,A,107549160,A,50793308,A
26,41.1,Incorporação e empreendimentos imobiliários,8112642,A,7390038,A,8013037,A,4208659,A,7267228,A,3058570,A
27,41.10,Incorporação e empreendimentos imobiliários,8112642,A,7390038,A,8013037,A,4208659,A,7267228,A,3058570,A
28,41.2,Construção de edifícios,105182402,A,96755940,A,108372063,A,52547194,A,100281932,A,47734738,A
29,41.20,Construção de edifícios,105182402,A,96755940,A,108372063,A,52547194,A,100281932,A,47734738,A
30,42,Obras de infraestrutura,113587752,A,104560508,A,112229999,A,57125944,A,106058945,A,48933001,A
31,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",52385026,A,48247079,A,52388581,A,28618604,A,49322791,A,20704187,A
32,42.11,Construção de rodovias e ferrovias,36794987,A,33919460,A,37052185,A,20857163,A,34915162,A,14058000,A
33,42.12,Construção de obras de arte especiais,9968044,A,9249635,A,9758990,A,5296233,A,9200234,A,3904000,A
34,42.13,"Obras de urbanização - ruas, praças e calçadas",5621995,A,5077984,A,5577406,A,2465208,A,5207395,A,2742187,A
