,"Grandes Regiões 
e
Unidades da Federação 
da sede da empresa","Número 
de
empresas
ativas","Pessoal
ocupado
em
31.12",Custos e despesas Total 1 000 R$,Custos e despesas Gastos de pessoal Total 1 000 R$,"Custos e despesas Gastos de pessoal Salários,
retiradas e
outras
remunerações 1 000 R$","Custos e despesas Custos das obras e/ou 
serviços da construção Total 1 000 R$","Custos e despesas Custos das obras e/ou 
serviços da construção Consumo de
materiais de
construção 1 000 R$",Custos e despesas Custos de incorporação de imóveis Total 1 000 R$,Custos e despesas Custos de incorporação de imóveis Materiais de construção 1 000 R$,"Custos e despesas Outros
custos e
despesas 1 000 R$"
5,Total das empresas,,,,,,,,,,
6,Brasil ,131487,2439429,299205734,99690615,68577016,113565940,67120242,7638073,2253485,78311098
7, Norte,4469,98453,8844249,3057334,2162076,3825674,2525366,158853,56526,1802386
8, Nordeste,17660,492141,43656075,15911598,10827832,18226636,10977792,955369,365562,8562469
9,Sudeste,63374,1294405,182591297,60849960,41408220,64057622,36220234,3868560,860980,53815154
10,Sul,34761,378072,43400467,13562954,9721835,18108164,11137289,2350164,810984,9379186
11,Centro-Oeste,11223,176358,20713646,6308769,4457053,9347844,6259561,305127,159433,4751903
12,Empresas de 1 a 4 pessoas ocupadas,,,,,,,,,,
13,Brasil ,67059,181085,13050281,4011887,3122606,4820435,3183258,1403019,226886,2814941
14,Norte,1804,7901,646869,186100,142781,313006,200241,20309,283,127455
15,Nordeste,7156,23485,1887276,463334,361240,698303,541955,312938,41403,412701
16,Sudeste,33251,87444,5571112,2005853,1527034,1885289,1327183,543771,84791,1136199
17,Sul,19011,42086,3682277,998955,801412,1346475,706415,505652,96384,831196
18,Centro-Oeste,5837,20169,1262747,357645,290139,577362,407464,20349,4025,307390
19,Empresas com 5 ou mais pessoas ocupadas,,,,,,,,,,
20,Brasil ,64428,2258344,286155453,95678728,65454410,108745505,63936984,6235054,2026599,75496157
21,Norte,2665,90552,8197380,2871234,2019295,3512668,2325125,138544,56243,1674931
22,Rondônia,385,6821,516025,191633,144588,241845,154507,4729,2481,77817
23,Acre,161,5956,447585,168062,126847,209381,130685,329,256,69813
24,Amazonas,573,20364,2171570,700434,483439,960149,662432,53481,22069,457506
25,Roraima,98,2768,178825,73241,53217,74831,47918,4,4,30749
26,Pará,958,40042,3722179,1326592,911638,1604311,1056443,30698,7443,760577
27,Amapá,147,4109,223381,101382,74403,80365,45452,78,78,41555
28,Tocantins,343,10492,937815,309890,225163,341786,227688,49225,23912,236914
29, Nordeste,10504,468656,41768799,15448264,10466592,17528333,10435837,642431,324159,8149768
30,Maranhão,653,35564,2819818,1009595,702738,1222503,818937,82173,51978,505546
31,Piauí,481,22867,1875920,717055,489505,791037,620828,4653,4541,363175
32,Ceará,1843,100807,10826677,3708556,2455162,4850383,2220286,158115,79065,2109623
33,Rio Grande do Norte,964,34561,2749053,903831,630229,1104591,830001,93856,30000,646775
34,Paraíba,1228,34593,2370425,825117,594099,1203521,940371,3801,3728,337985
35,Pernambuco,1558,77565,6559975,2617582,1799795,2435788,1503947,97539,48575,1409065
36,Alagoas,507,22143,1594613,549939,380795,746777,481944,6479,1759,291418
37,Sergipe,470,28537,2242931,760197,524514,874352,533517,116172,71844,492210
38,Bahia,2800,112019,10729387,4356392,2889755,4299381,2486006,79643,32669,1993971
39,Sudeste,30123,1206961,177020185,58844107,39881186,62172333,34893051,3324789,776189,52678955
40,Minas Gerais,7654,291161,35047574,12776805,8781183,12567752,7044549,235615,115387,9467401
41,Espírito Santo,1552,40779,3932786,1484261,978165,1628190,1044947,25952,25149,794383
42,Rio de Janeiro,4682,236874,41042997,12227851,8049333,13243423,7274322,304019,76395,15267704
43,São Paulo,16235,638147,96996828,32355190,22072505,34732968,19529233,2759203,559258,27149467
44,Sul,15750,335986,39718190,12563999,8920423,16761689,10430874,1844512,714600,8547990
45,Paraná,5510,129506,16223592,5454683,3718336,6737174,3792972,579067,118196,3452668
46,Santa Catarina,4424,90102,10345172,3182172,2364718,4419151,2969159,439039,218663,2304810
47,Rio Grande do Sul,5816,116378,13149426,3927144,2837369,5605364,3668743,826406,377741,2790512
48,Centro-Oeste,5386,156189,19450899,5951124,4166914,8770482,5852097,284778,155408,4444513
49,Mato Grosso do Sul,791,21503,1899557,655458,471979,885236,581599,32041,1690,326821
50,Mato Grosso,1237,29116,3841515,1012297,739965,2192531,1507092,20808,10720,615878
51,Goiás,2010,62586,7898849,2461177,1711914,3339448,2298084,160003,103133,1938220
52,Distrito Federal,1348,42984,5810978,1822192,1243056,2353267,1465322,71926,39865,1563594
